abarquillar,"Dar a una cosa delgada, como un papel, forma de barquillo.",Nos pusieron a abarquillar unas obleas para formar conos.,
abastecimiento,"Acción y efecto de proveer de bastimentos, víveres u otras cosas necesarias",El abastecimiento de la ciudad era necesario para que no faltaran las cosas necesarias,
abdicar,Dicho de un rey o de un príncipe. Ceder su soberanía o renunciar a ella.,El Príncipe Carlos de Inglaterra tendrá que abdicar.,
abolicionista,Partidario de la doctrina del abolicionismo,El abolicionista luchó por la desaparición de la esclavitud.,
abolir,"Derogar, dejar sin vigencia una ley, precepto, costumbre.",Necesitan abolir la ley injusta para que todos los niños puedan ir juntos a la escuela.,
abrocharte,"Cerrar, unir o ajustar con broches, corchetes, botones",La ley de Texas dice que tienes que abrocharte los cinturones del carro.,
abrupto,"Áspero, violento, rudo, destemplado.",Caminamos por un terreno abrupto.  ,
absolución,Acción de absolver.,"la absolución que imparte un sacerdote católico, sin que preceda la confesión individual de los pecados.",
absoluta,De manera absoluta.,Dio una orden de manera absoluta.,
absorber,"Dicho de una sustancia sólida: Ejercer atracción sobre un fluido con el que está en contacto, de modo que las moléculas de este penetren en aquella.",Esa esponja puede absorber mucha agua.,
absorbible,Dicho de una sustancia: Que puede ser absorbida.,Esta toalla no es muy absorbible.,
abstracción,"Concentración del pensamiento, prescindiendo de la realidad exterior.",Admiro su capacidad de abstracción de la realidad exterior.,
abubilla,Un ave bella y curiosa,La abubilla come lombrices grandes.,
abultar,"Aumentar la cantidad, intensidad, grado, etc.",La tendencia de abultar las cosas ha disminuido con los nuevos controles.,
abusivos,"Que se introduce o practica por abuso. Que abusa, abusón.",El jefe de esa empresa emplea métodos abusivos para ganar más dinero.,
acacia,"Árbol o arbusto de la familia de las mimosáceas, a veces con espinas, de madera bastante dura.",La acacia produce flores olorosas en racimos.,
acahual,"Especie de girasol, muy común en México.",El acahual es una hierba alta y de tallo algo grueso.,
acallar,"Aplacar, aquietar, sosegar.",Tenemos que acallar a la multitud antes de que llegue el Presidente.,
acalorado,"Dicho de una controversia, de una disputa, de una conversación, de una crítica.",El argumento fue muy acalorado pero logramos llegar a un acuerdo.,
acápite,"Texto breve, posterior al título, que aclara el contenido del artículo que encabeza.",Un acápite no es más que cada uno de los párrafos que tiene un escrito,
acaracolado,De forma de caracol.,Era un adorno acaracolado.,
acaramelado,Que tiene el color propio del caramelo  (azúcar fundido).,El vestido color acaramelado es muy elegante.,
acaserarse,Hacerse parroquiano de una tienda.,Acaserarse a los nuevos dueños fue  fácil,
acaudillamiento,"Acción de acaudillar.(Guiar, conducir, dirigir)",El general fue reconocido por su acaudillamiento. ,
acceder,Tener entrada o paso a un lugar.,Por esta puerta se puede acceder al patio.,
accesión,Acción y efecto de acceder.,La accesión es un modo de adquirir por el cual el dueño de una cosa pasa a serlo de lo que ella produce.,
accionista,Poseedor de una o varias acciones de una empresa,"Al entrar en el trato, se hizo accionista de la compañía.",
acechar,"Observar, aguardar cautelosamente con algún propósito.",El ladrón puede acechar a su víctima por largo rato.,
aceleración,Acción y efecto de acelerar o acelerarse.,La aceleración se refiere al incremento de la velocidad. ,
acémila,Mula o macho de carga.,La acémila era testaruda como su dueño,
achucuyar,"Abatir, acobardar ",Yo voy a achucuyar mis papeles importantes.,
aclamación,Muestra de entusiasmo hacia alguien,La cantante esperaba la aclamación del público.,
acoger,Admitir a alguien en su casa o compañía.,Me encanta acoger en mi casa a mis amigos.,
acolchado,Acción y efecto de poner algodón u otras materias  entre dos telas,Mi abuela me enseñó cómo hacer el alcolchado de los cojines.,
acólito,"En la iglesia católica, seglar cuyo oficio es servir el altar y administrar la eucaristía como ministro extraordinario.","El joven se recibió de acólito hace poco tiempo, pero participa en todos los servicios de la iglesia.",
acollarar,Poner las colleras a las caballerías o los collares a los cabestros o perros.,El joven se puso a acollarar las mulas.,
acomodación,Acción y efecto de acomodar,La acomodación del enfermo es importante para que mejore.,
acondicionador,Aparato que sirve para obtener determinadas condiciones de humedad y temperatura.,Se nos descompuso el acondicionador del aire.,
acordeonista,Músico que toca el acordeón.,La interpretación del acordeonista mereció una gran ovación.,
acribilló,Abrir muchos agujeros en alguna cosa,La pandilla acribillo la casa a balazos. ,
acromático,Dicho de un orgánulo celular. Que no se tiñe con los colorantes usuales. ,Ese tipo de papel es acromático.,
actitud,Disposición de ánimo manifestada de algún modo.,"En los concursos, es importante tener una actitud positiva.",
actividad,Conjunto de operaciones o tareas propias de una persona o entidad,Realizamos una actividad interesante en clase.,
actual,"Del presente, contemporáneo.",Es una obra actual.,
actualización,Acción y efecto de actualizar.,El programa está en proceso de actualización. ,
acuchillamiento,Herir con arma blanca. ,Hirieron a una persona en un acuchillamiento. ,
acuerdo,Resolución tomada por una o por varias personas,Tras varias votaciones por fin llegaron a un acuerdo.,
adarve,Parte superior de una muralla.,La guardia vigilaba desde el adarve,
ademán,Movimiento o actitud con que se manifiesta un estado de animo.,La muchacha hizo ademán en sacar algo de su cartera.,
adenología,Parte de la anatomía que trata de las glándulas.,La adenología estudia las glándulas del cuerpo humano.,
